A10_R1_ITS.fastq.gz,413832
A11_R1_ITS.fastq.gz,609644
A12_R1_ITS.fastq.gz,517868
A1_R1_ITS.fastq.gz,161388
A2_R1_ITS.fastq.gz,142460
A3_R1_ITS.fastq.gz,121308
A4_R1_ITS.fastq.gz,197208
A5_R1_ITS.fastq.gz,184896
A6_R1_ITS.fastq.gz,67548
A7_R1_ITS.fastq.gz,132448
A8_R1_ITS.fastq.gz,109656
A9_R1_ITS.fastq.gz,613872
B10_R1_ITS.fastq.gz,86360
B11_R1_ITS.fastq.gz,140136
B12_R1_ITS.fastq.gz,150336
B1_R1_ITS.fastq.gz,11596
B2_R1_ITS.fastq.gz,157188
B3_R1_ITS.fastq.gz,129136
B4_R1_ITS.fastq.gz,141140
B5_R1_ITS.fastq.gz,542304
B6_R1_ITS.fastq.gz,4684
B7_R1_ITS.fastq.gz,120584
B8_R1_ITS.fastq.gz,49680
B9_R1_ITS.fastq.gz,105472
C10_R1_ITS.fastq.gz,102540
C11_R1_ITS.fastq.gz,162904
C12_R1_ITS.fastq.gz,132996
C1_R1_ITS.fastq.gz,84568
C2_R1_ITS.fastq.gz,110056
C3_R1_ITS.fastq.gz,89356
C4_R1_ITS.fastq.gz,12312
C5_R1_ITS.fastq.gz,94244
C6_R1_ITS.fastq.gz,100808
C7_R1_ITS.fastq.gz,120724
C8_R1_ITS.fastq.gz,34572
C9_R1_ITS.fastq.gz,137024
D10_R1_ITS.fastq.gz,119980
D11_R1_ITS.fastq.gz,133300
D12_R1_ITS.fastq.gz,139712
D1_R1_ITS.fastq.gz,187288
D2_R1_ITS.fastq.gz,243072
D3_R1_ITS.fastq.gz,186800
D4_R1_ITS.fastq.gz,193280
D5_R1_ITS.fastq.gz,131732
D6_R1_ITS.fastq.gz,157620
D7_R1_ITS.fastq.gz,113208
D8_R1_ITS.fastq.gz,158832
D9_R1_ITS.fastq.gz,205084
E10_R1_ITS.fastq.gz,174812
E11_R1_ITS.fastq.gz,159840
E12_R1_ITS.fastq.gz,129988
E1_R1_ITS.fastq.gz,219936
E2_R1_ITS.fastq.gz,195500
E3_R1_ITS.fastq.gz,149140
E4_R1_ITS.fastq.gz,169396
E5_R1_ITS.fastq.gz,154048
E6_R1_ITS.fastq.gz,108488
E7_R1_ITS.fastq.gz,108292
E8_R1_ITS.fastq.gz,184444
E9_R1_ITS.fastq.gz,240648
F10_R1_ITS.fastq.gz,145612
F11_R1_ITS.fastq.gz,129608
F12_R1_ITS.fastq.gz,90896
F1_R1_ITS.fastq.gz,116140
F2_R1_ITS.fastq.gz,113216
F3_R1_ITS.fastq.gz,154360
F4_R1_ITS.fastq.gz,136708
F5_R1_ITS.fastq.gz,108260
F6_R1_ITS.fastq.gz,82104
F7_R1_ITS.fastq.gz,125960
F8_R1_ITS.fastq.gz,54112
F9_R1_ITS.fastq.gz,143248
G1_R1_ITS.fastq.gz,84760
G2_R1_ITS.fastq.gz,78816
G3_R1_ITS.fastq.gz,145228
G4_R1_ITS.fastq.gz,112844
G5_R1_ITS.fastq.gz,201152
G6_R1_ITS.fastq.gz,76
